"ID","Name","CardType","MonsterType","Attribute","Type","Level","ATK","DEF","Password","Limit"
359,"Jigen Bakudan","Monster","Effect","FIRE","Pyro",2,200,1000,90020065,3
360,"Jinzo","Monster","Effect","DARK","Machine",6,2400,1500,77585513,1
361,"Jinzo #7","Monster","Effect","DARK","Machine",2,500,400,32809211,3
362,"Jirai Gumo","Monster","Effect","EARTH","Insect",4,2200,100,94773007,3
363,"Judge Man","Monster","Normal","EARTH","Warrior",6,2200,1500,30113682,3
364,"Just Desserts","Trap",,,,,,,24068492,3
365,"Kagemusha of the Blue Flame","Monster","Normal","EARTH","Warrior",2,800,400,15401633,3
366,"Kageningen","Monster","Normal","DARK","Warrior",2,800,600,80600490,3
367,"Kairyu-Shin","Monster","Normal","WATER","Sea Serpent",5,1800,1500,76634149,3
368,"Kaiser Dragon","Monster","Fusion","LIGHT","Dragon",7,2300,2000,94566432,3
369,"Kamakiriman","Monster","Normal","EARTH","Insect",4,1150,1400,68928540,3
370,"Kaminari Attack","Monster","Fusion","WIND","Thunder",5,1900,1400,9653271,3
371,"Kaminarikozou","Monster","Normal","WIND","Thunder",2,700,600,15510988,3
372,"Kamionwizard","Monster","Fusion","DARK","Spellcaster",4,1300,1100,41544074,3
373,"Kanan the Swordmistress","Monster","Normal","EARTH","Warrior",4,1400,1400,,3
374,"Kanikabuto","Monster","Normal","WATER","Aqua",3,650,900,84103702,3
375,"Karate Man","Monster","Effect","EARTH","Warrior",3,1000,1000,23289281,3
376,"Karbonala Warrior","Monster","Fusion","EARTH","Warrior",4,1500,1200,54541900,3
377,"Kattapillar","Monster","Normal","EARTH","Insect",1,250,300,81179446,3
378,"Kazejin","Monster","Effect","WIND","Spellcaster",7,2400,2200,,3
379,"Key Mace #2","Monster","Normal","DARK","Fiend",4,1050,1200,20541432,3
380,"Killer Needle","Monster","Normal","WIND","Insect",4,1200,1000,88979991,3
381,"King Fog","Monster","Normal","DARK","Fiend",3,1000,900,84686841,3
382,"King of Yamimakai","Monster","Normal","DARK","Fiend",5,2000,1530,69455834,3
383,"Kiseitai","Monster","Effect","DARK","Fiend",2,300,800,4266839,3
384,"Kojikocy","Monster","Normal","EARTH","Warrior",4,1500,1200,1184620,3
385,"Kotodama","Monster","Effect","EARTH","Fairy",3,0,1600,19406822,3
386,"Koumori Dragon","Monster","Normal","DARK","Dragon",4,1500,1200,67724379,3
387,"Krokodilus","Monster","Normal","WATER","Reptile",4,1100,1200,76512652,3
388,"Kumootoko","Monster","Normal","EARTH","Insect",3,700,1400,56283725,3
389,"Kunai with Chain","Trap",,,,,,,37390589,3
390,"Kurama","Monster","Normal","WIND","Winged Beast",3,800,800,85705804,3
391,"Kuriboh","Monster","Effect","DARK","Fiend",1,300,200,40640057,3
392,"Kuwagata a","Monster","Normal","EARTH","Insect",4,1250,1000,60802233,3
393,"Kwagar Hercules","Monster","Fusion","EARTH","Insect",6,1900,1700,95144193,3
394,"La Jinn the Mystical Genie of the Lamp","Monster","Normal","DARK","Fiend",4,1800,1000,97590747,3
395,"Labyrinth Tank","Monster","Fusion","DARK","Machine",7,2400,2400,99551425,3
396,"Labyrinth Wall","Monster","Normal","EARTH","Rock",5,0,3000,,3
397,"Lady of Faith","Monster","Normal","LIGHT","Spellcaster",3,1100,800,17358176,3
398,"LaLa Li-oon","Monster","Normal","WIND","Thunder",2,600,600,9430387,3
399,"Larvae Moth","Monster","Effect","EARTH","Insect",2,500,400,,3
400,"Larvas","Monster","Normal","EARTH","Beast",3,800,1000,94675535,3
401,"Laser Cannon Armor","Magic",,,,,,,77007920,3
402,"Last Day of Witch","Magic",,,,,,,90330453,3
403,"Last Will","Magic",,,,,,,85602018,3
404,"Laughing Flower","Monster","Normal","EARTH","Plant",2,900,500,42591472,3
405,"Launcher Spider","Monster","Normal","FIRE","Machine",7,2200,2500,87322377,3
406,"Launcher Spider (alternate artwork)","Monster","Normal","FIRE","Machine",7,2200,2500,80703020,3
407,"Lava Battleguard","Monster","Effect","EARTH","Warrior",5,1550,1800,20394040,3
408,"Left Arm of the Forbidden One","Monster","Normal","DARK","Spellcaster",1,200,300,7902349,1
409,"Left Leg of the Forbidden One","Monster","Normal","DARK","Spellcaster",1,200,300,44519536,1
410,"Legendary Sword","Magic",,,,,,,61854111,3
411,"Leghul","Monster","Effect","EARTH","Insect",1,300,350,12472242,3
412,"Leogun","Monster","Normal","EARTH","Beast",5,1750,1550,10538007,3
413,"Lesser Dragon","Monster","Normal","WIND","Dragon",4,1200,1000,55444629,3
414,"Light of Intervention","Trap",,,,,,,62867251,3
415,"Lightforce Sword","Trap",,,,,,,49587034,3
416,"Liquid Beast","Monster","Normal","WATER","Aqua",3,950,800,93108297,3
417,"Little Chimera","Monster","Effect","FIRE","Beast",2,600,550,68658728,3
418,"Little D","Monster","Normal","EARTH","Dinosaur",3,1100,700,42625254,3
419,"Lord of D.","Monster","Effect","DARK","Spellcaster",4,1200,1100,17985575,3
420,"Lord of the Lamp","Monster","Normal","DARK","Fiend",4,1400,1200,99510761,3
421,"Lord of Zemia","Monster","Normal","DARK","Fiend",4,1300,1000,81618817,3
422,"Luminous Spark","Magic",,,,,,,81777047,3
423,"Lunar Queen Elzaim","Monster","Normal","LIGHT","Fairy",3,750,1100,62210247,3
424,"Mabarrel","Monster","Normal","DARK","Fiend",5,1700,1400,98795934,3
425,"Machine Conversion Factory","Magic",,,,,,,25769732,3
426,"Machine King","Monster","Effect","EARTH","Machine",6,2200,2000,46700124,3
427,"Magic Jammer","Trap",,,,,,,77414722,3
428,"Magic Thorn","Trap",,,,,,,53119267,3
429,"Magical Ghost","Monster","Normal","DARK","Zombie",4,1300,1400,46474915,3
430,"Magical Hats","Trap",,,,,,,81210420,3
431,"Magical Labyrinth","Magic",,,,,,,64389297,3
432,"Magic-Arm Shield","Trap",,,,,,,96008713,3
433,"Magician of Black Chaos","Monster","Ritual","DARK","Spellcaster",8,2800,2600,,3
434,"Magician of Faith","Monster","Effect","LIGHT","Spellcaster",1,300,400,31560081,3
435,"Maha Vailo","Monster","Effect","LIGHT","Spellcaster",4,1550,1400,93013676,3
436,"Maiden of the Moonlight","Monster","Normal","LIGHT","Spellcaster",4,1500,1300,79629370,3
437,"Major Riot","Trap",,,,,,,9074847,3
438,"Malevolent Nuzzler","Magic",,,,,,,99597615,3
439,"Mammoth Graveyard","Monster","Normal","EARTH","Dinosaur",3,1200,800,40374923,3
440,"Man Eater","Monster","Normal","EARTH","Plant",2,800,600,93553943,3
441,"Man-Eater Bug","Monster","Effect","EARTH","Insect",2,450,600,54652250,3
442,"Man-eating Black Shark","Monster","Fusion","WATER","Fish",5,2100,1300,80727036,3
443,"Man-Eating Plant","Monster","Normal","EARTH","Plant",2,800,600,49127943,3
444,"Man-Eating Treasure Chest","Monster","Normal","DARK","Fiend",4,1600,1000,13723605,3
445,"Manga Ryu-Ran","Monster","Effect","FIRE","Dragon",7,2200,2600,38369349,3
446,"Marine Beast","Monster","Fusion","WATER","Fish",5,1700,1600,29929832,3
447,"Masaki the Legendary Swordsman","Monster","Normal","EARTH","Warrior",4,1100,1100,44287299,3
448,"Mask of Darkness","Monster","Effect","DARK","Fiend",2,900,400,28933734,3
449,"Masked Sorcerer","Monster","Effect","DARK","Spellcaster",4,900,1400,10189126,3
450,"Master & Expert","Monster","Normal","EARTH","Beast",4,1200,1000,75499502,3
451,"Mavelus","Monster","Fusion","WIND","Winged Beast",4,1300,900,59036972,3
452,"Mechanical Snail","Monster","Normal","DARK","Machine",3,800,1000,34442949,3
453,"Mechanical Spider","Monster","Effect","EARTH","Machine",2,400,500,45688586,3
454,"Mechanicalchaser","Monster","Normal","DARK","Machine",4,1850,800,7359741,3
455,"Meda Bat","Monster","Normal","DARK","Fiend",2,800,400,76211194,3
456,"Mega Thunderball","Monster","Normal","WIND","Thunder",2,750,600,21817254,3
457,"Megamorph","Magic",,,,,,,22046459,1
458,"Megazowler","Monster","Normal","EARTH","Dinosaur",6,1800,2000,75390004,3
459,"Meotoko","Monster","Normal","EARTH","Beast",2,700,600,53832650,3
460,"Mesmeric Control","Magic",,,,,,,48642904,3
461,"Messenger of Peace","Magic",,,,,,,44656491,3
462,"Metal Detector","Trap",,,,,,,75646520,3
463,"Metal Dragon","Monster","Fusion","WIND","Machine",6,1850,1700,9293977,3
464,"Metal Fish","Monster","Normal","WATER","Machine",5,1600,1900,55998462,3
465,"Metal Guardian","Monster","Normal","DARK","Fiend",5,1150,2150,68339286,3
466,"Metalmorph","Trap",,,,,,,68540058,3
467,"Metalzoa","Monster","Effect","DARK","Machine",8,3000,2300,50705071,3
468,"Meteor B. Dragon","Monster","Fusion","FIRE","Dragon",8,3500,2000,,3
469,"Meteor Dragon","Monster","Normal","EARTH","Dragon",6,1800,2000,,3
470,"Mikazukinoyaiba","Monster","Normal","DARK","Dragon",7,2200,2350,,3
471,"Millennium Golem","Monster","Normal","EARTH","Rock",6,2000,2200,47986555,3
472,"Millennium Shield","Monster","Normal","EARTH","Warrior",5,0,3000,32012841,3
473,"Milus Radiant","Monster","Effect","EARTH","Beast",1,300,250,7489323,3
474,"Minar","Monster","Effect","EARTH","Insect",3,850,750,32539892,3
475,"Minomushi Warrior","Monster","Normal","EARTH","Rock",4,1300,1200,46864967,3
476,"Mirror Force","Trap",,,,,,,44095762,1
477,"Mirror Wall","Trap",,,,,,,22359980,3
478,"Misairuzame","Monster","Normal","WATER","Fish",5,1400,1600,33178416,3
479,"Molten Destruction","Magic",,,,,,,19384334,3
480,"Monster Egg","Monster","Normal","EARTH","Warrior",3,600,900,36121917,3
481,"Monster Eye","Monster","Effect","DARK","Fiend",1,250,350,84133008,3
482,"Monster Reborn","Magic",,,,,,,83764718,1
483,"Monster Tamer","Monster","Normal","EARTH","Warrior",5,1800,1600,97612389,3
484,"Monstrous Bird","Monster","Normal","WIND","Winged Beast",6,2000,1900,35712107,3
485,"Moon Envoy","Monster","Normal","LIGHT","Warrior",4,1100,1000,45909477,3
486,"Mooyan Curry","Magic",,,,,,,58074572,3
487,"Morinphen","Monster","Normal","DARK","Fiend",5,1550,1300,55784832,3
488,"Morphing Jar","Monster","Effect","EARTH","Rock",2,700,600,33508719,3
489,"Morphing Jar #2","Monster","Effect","EARTH","Rock",3,800,700,79106360,2
490,"Mother Grizzly","Monster","Effect","WATER","Beast-Warrior",4,1400,1000,57839750,3
491,"Mountain","Magic",,,,,,,50913601,3
492,"Mountain Warrior","Monster","Normal","EARTH","Beast-Warrior",3,600,1000,4931562,3
493,"Mr. Volcano","Monster","Normal","FIRE","Pyro",5,2100,1300,31477025,3
494,"Muka Muka","Monster","Effect","EARTH","Rock",2,600,300,46657337,3
495,"Mushroom Man","Monster","Normal","EARTH","Plant",2,800,600,14181608,3
496,"Mushroom Man #2","Monster","Effect","EARTH","Warrior",3,1250,800,93900406,3
497,"Musician King","Monster","Fusion","LIGHT","Spellcaster",5,1750,1500,56907389,3
498,"M-Warrior #1","Monster","Normal","EARTH","Warrior",3,1000,500,56342351,3
499,"M-Warrior #2","Monster","Normal","EARTH","Warrior",3,500,1000,92731455,3
500,"Mysterious Puppeteer","Monster","Effect","EARTH","Warrior",4,1000,1500,54098121,3
501,"Mystic Horseman","Monster","Normal","EARTH","Beast",4,1300,1550,68516705,3
502,"Mystic Lamp","Monster","Effect","DARK","Spellcaster",1,400,300,98049915,3
503,"Mystic Plasma Zone","Magic",,,,,,,18161786,3
504,"Mystic Probe","Trap",,,,,,,49251811,3
505,"Mystic Tomato","Monster","Effect","DARK","Plant",4,1400,1100,83011277,3
506,"Mystical Capture Chain","Monster","Normal","LIGHT","Fairy",2,700,700,63515678,3
507,"Mystical Elf","Monster","Normal","LIGHT","Spellcaster",4,800,2000,15025844,3
508,"Mystical Moon","Magic",,,,,,,36607978,3
509,"Mystical Sand","Monster","Fusion","EARTH","Rock",6,2100,1700,32751480,3
510,"Mystical Sheep #1","Monster","Effect","EARTH","Beast",3,1150,900,30451366,3
511,"Mystical Sheep #2","Monster","Normal","EARTH","Beast",3,800,1000,83464209,3
512,"Mystical Space Typhoon","Magic",,,,,,,5318639,3
513,"Needle Ball","Monster","Effect","DARK","Fiend",2,750,700,94230224,3
514,"Needle Worm","Monster","Effect","EARTH","Insect",2,750,600,81843628,3
515,"Negate Attack","Trap",,,,,,,14315573,3
516,"Nekogal #1","Monster","Normal","EARTH","Beast",3,1100,900,1761063,3
517,"Nekogal #2","Monster","Normal","EARTH","Beast-Warrior",6,1900,2000,43352213,3
518,"Nemuriko","Monster","Normal","DARK","Spellcaster",3,800,700,90963488,3
519,"Neo the Magic Swordsman","Monster","Normal","LIGHT","Spellcaster",4,1700,1000,50930991,3
520,"Nimble Momonga","Monster","Effect","EARTH","Beast",2,1000,100,22567609,3
521,"Niwatori","Monster","Normal","EARTH","Winged Beast",3,900,800,7805359,3
522,"Nobleman of Crossout","Magic",,,,,,,71044499,2
523,"Nobleman of Extermination","Magic",,,,,,,17449108,3
524,"Novox's Prayer","Magic",,,,,,,,3
525,"Numinous Healer","Trap",,,,,,,2130625,3
526,"Octoberser","Monster","Normal","WATER","Aqua",5,1600,1400,74637266,3
527,"Ocubeam","Monster","Normal","LIGHT","Fairy",5,1550,1650,86088138,3
528,"Ogre of the Black Shadow","Monster","Normal","EARTH","Beast-Warrior",4,1200,1400,45121025,3
529,"One-Eyed Shield Dragon","Monster","Normal","WIND","Dragon",3,700,1300,33064647,3
530,"Ooguchi","Monster","Effect","WATER","Aqua",1,300,250,58861941,3
531,"Ookazi","Magic",,,,,,,19523799,3
532,"Orion the Battle King","Monster","Normal","LIGHT","Fairy",5,1800,1500,2971090,3
533,"Oscillo Hero","Monster","Normal","EARTH","Warrior",3,1250,700,82065276,3
534,"Oscillo Hero #2","Monster","Normal","LIGHT","Thunder",3,1000,500,27324313,3
535,"Painful Choice","Magic",,,,,,,74191942,1
536,"Pale Beast","Monster","Normal","EARTH","Beast",4,1500,1200,21263083,3
537,"Panther Warrior","Monster","Effect","EARTH","Beast-Warrior",4,2000,1600,42035044,3
538,"Paralyzing Potion","Magic",,,,,,,50152549,3
539,"Parasite Paracide","Monster","Effect","EARTH","Insect",2,500,300,27911549,3
540,"Parrot Dragon","Monster","Normal","WIND","Dragon",5,2000,1300,62762898,3
541,"Patrol Robo","Monster","Effect","EARTH","Machine",3,1100,900,76775123,3
542,"Peacock","Monster","Normal","WIND","Winged Beast",5,1700,1500,20624263,3
543,"Pendulum Machine","Monster","Normal","DARK","Machine",6,1750,2000,24433920,3
544,"Pendulum Machine (alternate artwork)","Monster","Normal","DARK","Machine",6,1750,2000,20404030,3
545,"Penguin Knight","Monster","Effect","WATER","Aqua",3,900,800,36039163,3
546,"Penguin Soldier","Monster","Effect","WATER","Aqua",2,750,500,93920745,3
547,"Perfectly Ultimate Great Moth","Monster","Effect","EARTH","Insect",8,3500,3000,,3
548,"Performance of Sword","Monster","Ritual","EARTH","Warrior",6,1950,1850,,3
549,"Petit Angel","Monster","Normal","LIGHT","Fairy",3,600,900,38142739,3
550,"Petit Dragon","Monster","Normal","WIND","Dragon",2,600,700,75356564,3
551,"Petit Moth","Monster","Normal","EARTH","Insect",1,300,200,58192742,3
552,"Polymerization","Magic",,,,,,,24094653,3
553,"Polymerization (alternate artwork)","Magic",,,,,,,27847700,3
554,"Pot of Greed","Magic",,,,,,,55144522,1
555,"Power of Kaishin","Magic",,,,,,,77027445,3
556,"Pragtical","Monster","Fusion","EARTH","Dinosaur",5,1900,1500,33691040,3
557,"Premature Burial","Magic",,,,,,,70828912,3
558,"Prevent Rat","Monster","Normal","EARTH","Beast",4,500,2000,549481,3
559,"Princess of Tsurugi","Monster","Effect","WIND","Warrior",3,900,700,51371017,3
560,"Prisman","Monster","Normal","LIGHT","Rock",3,800,1000,80234301,3
561,"Prohibition","Magic",,,,,,,43711255,3
562,"Protector of the Throne","Monster","Normal","EARTH","Warrior",4,800,1500,10071456,3
563,"Psychic Kappa","Monster","Normal","WATER","Aqua",2,400,1000,7892180,3
564,"Pumpking the King of Ghosts","Monster","Effect","DARK","Zombie",6,1800,2000,29155212,3
565,"Punished Eagle","Monster","Fusion","WIND","Winged Beast",6,2100,1800,74703140,3
566,"Queen Bird","Monster","Normal","WIND","Winged Beast",5,1200,2000,73081602,3
567,"Queen of Autumn Leaves","Monster","Normal","EARTH","Plant",5,1800,1500,4179849,3
568,"Queen's Double","Monster","Effect","EARTH","Warrior",1,350,300,5901497,3
569,"Rabid Horseman","Monster","Fusion","EARTH","Beast-Warrior",6,2000,1700,,3
570,"Raigeki","Magic",,,,,,,12580477,1
571,"Raimei","Magic",,,,,,,56260110,3
572,"Rainbow Flower","Monster","Effect","EARTH","Plant",2,400,500,21347810,3
573,"Raise Body Heat","Magic",,,,,,,51267887,3
574,"Rare Fish","Monster","Fusion","WATER","Fish",4,1500,1200,80516007,3
575,"Ray & Temperature","Monster","Normal","LIGHT","Fairy",3,1000,1000,85309439,3
576,"Reaper of the Cards","Monster","Effect","DARK","Fiend",5,1380,1930,33066139,3
577,"Red Archery Girl","Monster","Normal","WATER","Aqua",4,1400,1500,65570596,3
578,"Red Medicine","Magic",,,,,,,38199696,3
579,"Red-Eyes B. Dragon","Monster","Normal","DARK","Dragon",7,2400,2000,74677422,3
580,"Red-Eyes Black Metal Dragon","Monster","Effect","DARK","Machine",8,2800,2400,64335804,3
581,"Reinforcements","Trap",,,,,,,17814387,3
582,"Relinquished","Monster","Ritual","DARK","Spellcaster",1,0,0,64631466,3
583,"Remove Trap","Magic",,,,,,,51482758,3
584,"Respect Play","Trap",,,,,,,8951260,3
585,"Restructer Revolution","Magic",,,,,,,99518961,3
586,"Resurrection of Chakra","Magic",,,,,,,,3
587,"Reverse Trap","Trap",,,,,,,77622396,3
588,"Revival of Dokurorider","Magic",,,,,,,,3
589,"Rhaimundos of the Red Sword","Monster","Normal","EARTH","Warrior",4,1200,1300,62403074,3
590,"Right Arm of the Forbidden One","Monster","Normal","DARK","Spellcaster",1,200,300,70903634,1
591,"Right Leg of the Forbidden One","Monster","Normal","DARK","Spellcaster",1,200,300,8124921,1
592,"Ring of Magnetism","Magic",,,,,,,20436034,3
593,"Riryoku","Magic",,,,,,,34016756,2
594,"Rising Air Current","Magic",,,,,,,45778932,3
595,"Roaring Ocean Snake","Monster","Fusion","WATER","Aqua",6,2100,1800,19066538,3
596,"Robbin' Goblin","Trap",,,,,,,88279736,3
597,"Rock Ogre Grotto #1","Monster","Normal","EARTH","Rock",3,800,1200,68846917,3
598,"Rogue Doll","Monster","Normal","LIGHT","Spellcaster",4,1600,1000,91939608,3
599,"Root Water","Monster","Normal","WATER","Fish",3,900,800,39004808,3
600,"Rose Spectre of Dunn","Monster","Fusion","DARK","Plant",6,2000,1800,32485271,3
601,"Royal Decree","Trap",,,,,,,51452091,3
602,"Royal Guard","Monster","Normal","EARTH","Machine",6,1900,2200,39239728,3
603,"Rude Kaiser","Monster","Normal","EARTH","Beast-Warrior",5,1800,1600,26378150,3
604,"Rush Recklessly","Magic",,,,,,,70046172,3
605,"Ryu-Kishin","Monster","Normal","DARK","Fiend",3,1000,500,15303296,3
606,"Ryu-Kishin Powered","Monster","Normal","DARK","Fiend",4,1600,1200,24611934,3
607,"Ryu-Ran","Monster","Normal","FIRE","Dragon",7,2200,2600,2964201,3
608,"Saber Slasher","Monster","Normal","DARK","Machine",5,1450,1500,73911410,3
609,"Saggi the Dark Clown","Monster","Normal","DARK","Spellcaster",3,600,1500,66602787,3
610,"Salamandra","Magic",,,,,,,32268901,3
611,"Sand Stone","Monster","Normal","EARTH","Rock",5,1300,1600,73051941,3
612,"Sanga of the Thunder","Monster","Effect","LIGHT","Thunder",7,2600,2200,,3
613,"Sangan","Monster","Effect","DARK","Fiend",3,1000,600,26202165,2
614,"Sea Kamen","Monster","Normal","WATER","Aqua",4,1100,1300,71746462,3
615,"Sea King Dragon","Monster","Normal","WATER","Sea Serpent",6,2000,1700,23659124,3
616,"Seal of the Ancients","Magic",,,,,,,97809599,3
617,"Sebek's Blessing","Magic",,,,,,,22537443,3
618,"Sectarian of Secrets","Monster","Normal","DARK","Spellcaster",2,700,500,15507080,3
619,"Seiyaryu","Monster","Normal","LIGHT","Dragon",7,2500,2300,,3
620,"Sengenjin","Monster","Normal","EARTH","Beast-Warrior",8,2750,2500,,3
621,"Senju of the Thousand Hands","Monster","Effect","LIGHT","Fairy",4,1400,1000,23401839,3
622,"Serpent Night Dragon","Monster","Normal","DARK","Dragon",7,2350,2400,,3
623,"Seven Tools of the Bandit","Trap",,,,,,,3819470,3
624,"Shadow Ghoul","Monster","Effect","DARK","Zombie",5,1600,1300,,3
625,"Shadow Specter","Monster","Normal","DARK","Zombie",1,500,200,40575313,3
626,"Share the Pain","Magic",,,,,,,56830749,3
627,"Shield & Sword","Magic",,,,,,,52097679,3
628,"Shining Fairy","Monster","Effect","LIGHT","Fairy",4,1400,800,95956346,3
629,"Shovel Crusher","Monster","Normal","EARTH","Machine",3,900,1200,71950093,3
630,"Silver Bow and Arrow","Magic",,,,,,,1557499,3
631,"Silver Fang","Monster","Normal","EARTH","Beast",3,1200,800,90357090,3
632,"Sinister Serpent","Monster","Effect","WATER","Reptile",1,300,250,8131171,1
633,"Skelengel","Monster","Effect","LIGHT","Fairy",2,900,400,60694662,3
634,"Skelgon","Monster","Fusion","DARK","Zombie",6,1700,1900,32355828,3
635,"Skull Dice","Trap",,,,,,,126218,3
636,"Skull Guardian","Monster","Ritual","LIGHT","Warrior",7,2050,2500,,3
637,"Skull Knight","Monster","Fusion","DARK","Spellcaster",7,2650,2250,,3
638,"Skull Red Bird","Monster","Normal","WIND","Winged Beast",4,1550,1200,10202894,3
639,"Skull Servant","Monster","Normal","DARK","Zombie",1,300,200,32274490,3
640,"Skull Stalker","Monster","Normal","DARK","Warrior",3,900,800,54844990,3
641,"Skullbird","Monster","Fusion","WIND","Winged Beast",6,1900,1700,8327462,3
642,"Sleeping Lion","Monster","Normal","EARTH","Beast",4,700,1700,40200834,3
643,"Slot Machine","Monster","Normal","DARK","Machine",7,2000,2300,3797883,3
644,"Snake Fang","Trap",,,,,,,596051,3
645,"Snakeyashi","Monster","Normal","EARTH","Plant",4,1000,1200,29802344,3
646,"Snatch Steal","Magic",,,,,,,45986603,1
647,"Sogen","Magic",,,,,,,86318356,3
648,"Solemn Judgment","Trap",,,,,,,41420027,3
649,"Solitude","Monster","Normal","EARTH","Beast-Warrior",3,1050,1000,84794011,3
650,"Solomon's Lawbook","Trap",,,,,,,23471572,3
651,"Sonic Bird","Monster","Effect","WIND","Winged Beast",4,1400,1000,57617178,3
652,"Sonic Maid","Monster","Normal","EARTH","Warrior",3,1200,900,38942059,3
653,"Soul Hunter","Monster","Fusion","DARK","Fiend",6,2200,1800,72869010,3
654,"Soul of the Pure","Magic",,,,,,,47852924,3
655,"Soul Release","Magic",,,,,,,5758500,3
656,"Sparks","Magic",,,,,,,76103675,3
657,"Spear Cretin","Monster","Effect","DARK","Fiend",2,500,500,58551308,3
658,"Spellbinding Circle","Trap",,,,,,,18807108,3
659,"Spike Seadra","Monster","Normal","WATER","Sea Serpent",5,1600,1300,85326399,3
660,"Spirit of the Books","Monster","Normal","WIND","Winged Beast",4,1400,1200,14037717,3
661,"Spirit of the Harp","Monster","Normal","LIGHT","Fairy",4,800,2000,80770678,3
662,"Stain Storm","Magic",,,,,,,21323861,3
663,"Star Boy","Monster","Effect","WATER","Aqua",2,550,500,8201910,3
664,"Steel Ogre Grotto #1","Monster","Normal","EARTH","Machine",5,1400,1800,29172562,3
665,"Steel Ogre Grotto #2","Monster","Normal","EARTH","Machine",6,1900,2200,90908427,3
666,"Steel Scorpion","Monster","Effect","EARTH","Machine",1,250,300,13599884,3
667,"Steel Shell","Magic",,,,,,,2370081,3
668,"Stim-Pack","Magic",,,,,,,83225447,3
669,"Stone Armadiller","Monster","Normal","EARTH","Rock",3,800,1200,63432835,3
670,"Stone Ogre Grotto","Monster","Normal","EARTH","Rock",5,1600,1500,15023985,3
671,"Stop Defense","Magic",,,,,,,63102017,3
672,"Stuffed Animal","Monster","Normal","EARTH","Warrior",3,1200,900,71068263,3
673,"Succubus Knight","Monster","Normal","DARK","Warrior",5,1650,1300,55291359,3
674,"Suijin","Monster","Effect","WATER","Aqua",7,2500,2400,,3
675,"Summoned Skull","Monster","Normal","DARK","Fiend",6,2500,1200,70781052,3
676,"Super War-Lion","Monster","Ritual","EARTH","Beast",7,2300,2100,,3
677,"Supporter in the Shadows","Monster","Normal","EARTH","Warrior",3,1000,1000,41422426,3
678,"Swamp Battleguard","Monster","Effect","EARTH","Warrior",5,1800,1500,40453765,3
679,"Sword Arm of Dragon","Monster","Normal","EARTH","Dinosaur",6,1750,2030,13069066,3
680,"Sword of Dark Destruction","Magic",,,,,,,37120512,3
681,"Sword of Deep-Seated","Magic",,,,,,,98495314,3
682,"Sword of Dragon's Soul","Magic",,,,,,,61405855,3
683,"Swords of Revealing Light","Magic",,,,,,,72302403,2
684,"Swordsman from a Foreign Land","Monster","Effect","EARTH","Warrior",1,250,250,85255550,3
685,"Swordstalker","Monster","Normal","DARK","Warrior",6,2000,1600,50005633,3
686,"Tailor of the Fickle","Magic",,,,,,,43641473,3
687,"Tainted Wisdom","Monster","Effect","DARK","Fiend",3,1250,800,28725004,3
688,"Takriminos","Monster","Normal","WATER","Sea Serpent",4,1500,1200,44073668,3
689,"Takuhee","Monster","Normal","WIND","Winged Beast",4,1450,1000,3170832,3
690,"Tao the Chanter","Monster","Normal","EARTH","Spellcaster",3,1200,900,46247516,3
691,"Temple of Skulls","Monster","Normal","DARK","Zombie",4,900,1300,732302,3
692,"Tenderness","Monster","Normal","LIGHT","Fairy",3,700,1400,57935140,3
693,"Terra the Terrible","Monster","Normal","DARK","Fiend",4,1200,1300,63308047,3
694,"The 13th Grave","Monster","Normal","DARK","Zombie",3,1200,900,32864,3
695,"The Bewitching Phantom Thief","Monster","Normal","DARK","Spellcaster",2,700,700,24348204,3
696,"The Bistro Butcher","Monster","Effect","DARK","Fiend",4,1800,1000,71107816,3
697,"The Cheerful Coffin","Magic",,,,,,,41142615,3
698,"The Drdek","Monster","Normal","DARK","Fiend",3,700,800,8944575,3
699,"The Eye of Truth","Trap",,,,,,,34694160,3
700,"The Flute of Summoning Dragon","Magic",,,,,,,43973174,3
701,"The Forceful Sentry","Magic",,,,,,,42829885,1
702,"The Furious Sea King","Monster","Normal","WATER","Aqua",3,800,700,18710707,3
703,"The Immortal of Thunder","Monster","Effect","LIGHT","Thunder",4,1500,1300,84926738,3
704,"The Inexperienced Spy","Magic",,,,,,,81820689,3
705,"The Little Swordsman of Aile","Monster","Effect","WATER","Warrior",3,800,1300,25109950,3
706,"The Regulation of Tribe","Trap",,,,,,,296499,3
707,"The Reliable Guardian","Magic",,,,,,,16430187,3
708,"The Shallow Grave","Magic",,,,,,,43434803,3
709,"The Snake Hair","Monster","Normal","DARK","Zombie",4,1500,1200,29491031,3
710,"The Stern Mystic","Monster","Effect","LIGHT","Spellcaster",4,1500,1200,87557188,3
711,"The Thing That Hides in the Mud","Monster","Normal","EARTH","Rock",4,1200,1300,18180762,3
712,"The Unhappy Maiden","Monster","Effect","LIGHT","Spellcaster",1,0,100,51275027,3
713,"The Wandering Doomed","Monster","Normal","DARK","Zombie",2,800,600,93788854,3
714,"The Wicked Worm Beast","Monster","Effect","EARTH","Beast",3,1400,700,6285791,3
715,"Thousand Dragon","Monster","Fusion","WIND","Dragon",7,2400,2000,,3
716,"Thousand Dragon (alternate artwork)","Monster","Fusion","WIND","Dragon",7,2400,2000,,3
717,"Three-Headed Geedo","Monster","Normal","DARK","Fiend",4,1200,1400,78423643,3
